                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4112,                 1.3412,                 1.7853,                0.60089,                0.56367,                0.58381,                0.26105,                 1.7347,                 2.4798,                 2.0377,               0.070032,              0.0033298,              0.0033298
                      1,                 1.4439,                  1.381,                 1.8137,                0.59341,                0.56248,                 0.5721,                0.25459,                 1.7235,                 2.3976,                 2.0253,                 0.0399,              0.0065312,              0.0065312
                      2,                 1.4905,                 1.4701,                  1.852,                0.62432,                0.49531,                0.55796,                 0.2484,                 1.7438,                 3.1395,                 2.0439,              0.0096358,              0.0096006,              0.0096006
                      3,                 1.5436,                  1.563,                 1.8951,                0.60732,                0.49598,                0.54196,                0.24278,                 1.7431,                 2.5492,                 2.0336,               0.009406,               0.009406,               0.009406
                      4,                 1.5575,                 1.5926,                  1.915,                0.57522,                0.55563,                0.55479,                0.23706,                 1.7728,                 2.9624,                 2.0621,               0.009406,               0.009406,               0.009406
                      5,                 1.5612,                 1.5895,                 1.9134,                0.58744,                0.52078,                0.54608,                0.23435,                 1.7753,                 3.3148,                  2.061,               0.009208,               0.009208,               0.009208
                      6,                 1.5586,                 1.5755,                 1.9139,                 0.5879,                 0.5496,                0.56878,                0.24649,                 1.7448,                 3.1023,                 2.0454,                0.00901,                0.00901,                0.00901
                      7,                 1.5551,                 1.5797,                 1.9162,                0.60255,                0.53954,                0.58415,                0.25747,                  1.781,                  2.362,                 2.0859,               0.008812,               0.008812,               0.008812
                      8,                 1.5478,                 1.5748,                 1.9138,                0.63486,                0.51005,                0.55594,                0.24685,                 1.7786,                 2.4921,                 2.0881,               0.008614,               0.008614,               0.008614
                      9,                 1.5521,                 1.5687,                 1.9084,                0.60157,                0.52413,                0.57339,                0.25506,                  1.712,                 2.9869,                 2.0038,               0.008416,               0.008416,               0.008416
