                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6445,                 2.8432,                 3.2516,                0.30909,                0.29388,                 0.2162,                 0.0715,                 2.9706,                 2.4734,                 3.7296,               0.070032,              0.0033298,              0.0033298
                      1,                 2.1436,                 2.4216,                 2.7525,                0.30886,                0.34056,                0.24092,                0.08367,                  2.933,                 2.3991,                 3.7588,               0.039373,              0.0060034,              0.0060034
                      2,                 2.0468,                  2.388,                 2.6696,                  0.267,                0.34066,                0.21559,                 0.0733,                 3.0215,                 2.4481,                 4.1015,              0.0080529,              0.0080171,              0.0080171
                      3,                 2.0022,                 2.3463,                 2.6235,                0.32936,                0.33866,                0.24855,                0.08566,                 2.9952,                 2.3833,                  4.373,                0.00703,                0.00703,                0.00703
                      4,                 1.9612,                 2.2939,                 2.5805,                0.31171,                0.36705,                0.25611,                0.09904,                 2.8308,                 2.3272,                 3.7673,                0.00703,                0.00703,                0.00703
                      5,                 1.8947,                 2.2429,                 2.5156,                0.34882,                0.38385,                0.29522,                0.11777,                 2.8514,                 2.2151,                 3.9997,                0.00604,                0.00604,                0.00604
                      6,                 1.8508,                 2.1839,                 2.4674,                0.34572,                0.37505,                0.28109,                0.11385,                 2.8237,                 2.2281,                 4.1456,                0.00505,                0.00505,                0.00505
                      7,                 1.8042,                  2.135,                 2.4344,                0.38544,                0.40304,                0.33061,                0.13852,                 2.8384,                 2.1665,                 4.2841,                0.00406,                0.00406,                0.00406
                      8,                 1.7755,                 2.0956,                 2.4033,                0.34959,                0.39994,                0.29217,                0.12401,                 2.7191,                 2.1612,                 3.8707,                0.00307,                0.00307,                0.00307
                      9,                 1.7353,                 2.0428,                 2.3623,                0.38229,                0.44422,                0.34219,                0.14685,                 2.7403,                  2.083,                 4.1867,                0.00208,                0.00208,                0.00208
