                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9742,                  2.376,                 2.5439,                0.35734,                0.40824,                0.30458,                0.13471,                  2.706,                 2.4059,                 3.7798,               0.070032,              0.0033298,              0.0033298
                      1,                 1.8494,                 2.3449,                 2.4186,                0.35413,                0.38545,                0.28435,                0.11696,                  2.754,                 2.5949,                 3.8038,                 0.0399,              0.0065312,              0.0065312
                      2,                 1.8472,                 2.3442,                 2.4197,                0.34437,                0.38412,                0.30038,                0.12217,                 2.7757,                 2.4777,                 3.9225,              0.0096364,              0.0096006,              0.0096006
                      3,                 1.8504,                 2.3568,                 2.4215,                0.36884,                0.38764,                0.32988,                0.14239,                 2.7245,                 2.4286,                 3.6115,               0.009406,               0.009406,               0.009406
                      4,                 1.8253,                 2.3543,                 2.4008,                0.32059,                0.38425,                0.28455,                 0.1237,                 2.7378,                 2.5319,                 3.7313,               0.009406,               0.009406,               0.009406
                      5,                 1.8048,                 2.3295,                 2.3844,                0.35798,                0.39624,                0.31525,                0.13502,                 2.7019,                 2.4946,                 3.8233,               0.009208,               0.009208,               0.009208
                      6,                   1.78,                 2.3034,                 2.3664,                0.32995,                0.41111,                0.29051,                0.12252,                 2.7412,                  2.451,                 4.0756,                0.00901,                0.00901,                0.00901
                      7,                 1.7734,                 2.2946,                 2.3505,                0.37057,                0.42023,                  0.328,                0.14557,                 2.7069,                 2.2871,                 3.9879,               0.008812,               0.008812,               0.008812
                      8,                 1.7493,                 2.2824,                 2.3379,                0.39368,                0.41423,                 0.3643,                0.16848,                 2.7018,                 2.2957,                 3.9585,               0.008614,               0.008614,               0.008614
                      9,                 1.7423,                 2.2601,                 2.3289,                0.39258,                0.43223,                0.33112,                0.15149,                 2.6862,                 2.3551,                 3.9348,               0.008416,               0.008416,               0.008416
                     10,                 1.7319,                 2.2505,                 2.3194,                0.37945,                0.44302,                0.34933,                0.15883,                 2.6608,                 2.2756,                 3.9322,               0.008218,               0.008218,               0.008218
                     11,                  1.721,                 2.2415,                 2.3109,                0.41409,                0.43263,                0.39014,                0.18807,                 2.6359,                 2.2862,                 3.8769,                0.00802,                0.00802,                0.00802
                     12,                  1.716,                 2.2315,                 2.3067,                 0.4131,                0.42783,                0.37391,                0.18271,                 2.6195,                 2.3094,                 3.8927,               0.007822,               0.007822,               0.007822
                     13,                 1.7045,                 2.2184,                 2.2926,                 0.3846,                0.44822,                0.35142,                0.16277,                 2.6689,                 2.2648,                 4.0554,               0.007624,               0.007624,               0.007624
                     14,                 1.6975,                 2.2121,                 2.2904,                0.41115,                0.46541,                0.37132,                0.17943,                 2.6476,                 2.2101,                 3.8984,               0.007426,               0.007426,               0.007426
                     15,                 1.6864,                 2.1964,                 2.2818,                0.40415,                0.46861,                0.37831,                0.18167,                 2.6402,                 2.2382,                 3.8971,               0.007228,               0.007228,               0.007228
                     16,                 1.6843,                 2.1901,                 2.2828,                0.39575,                0.45302,                0.36128,                 0.1746,                 2.6095,                 2.1421,                 3.7721,                0.00703,                0.00703,                0.00703
                     17,                 1.6728,                 2.1807,                 2.2675,                  0.405,                0.46781,                0.37624,                0.17859,                 2.6481,                 2.2137,                 4.1556,               0.006832,               0.006832,               0.006832
                     18,                 1.6733,                 2.1784,                 2.2648,                0.39531,                0.46945,                0.36868,                 0.1774,                 2.6076,                 2.1097,                  3.937,               0.006634,               0.006634,               0.006634
                     19,                 1.6601,                 2.1596,                 2.2522,                0.39342,                0.46581,                0.37315,                0.18408,                 2.5775,                 2.0134,                 3.7211,               0.006436,               0.006436,               0.006436
                     20,                 1.6584,                 2.1603,                 2.2527,                0.41725,                0.49271,                 0.3979,                0.20193,                 2.5656,                 2.0676,                 3.8832,               0.006238,               0.006238,               0.006238
                     21,                 1.6573,                  2.134,                 2.2472,                0.43136,                0.47941,                0.39322,                0.19964,                 2.5735,                 2.1001,                 3.8311,                0.00604,                0.00604,                0.00604
                     22,                 1.6483,                 2.1375,                  2.241,                0.39419,                0.48701,                0.36657,                0.18429,                 2.5763,                 2.1404,                  3.928,               0.005842,               0.005842,               0.005842
                     23,                 1.6366,                 2.1302,                 2.2345,                0.41332,                 0.4878,                0.39355,                0.20108,                 2.5763,                 2.0992,                 3.9935,               0.005644,               0.005644,               0.005644
                     24,                 1.6367,                 2.1311,                  2.234,                0.45122,                0.48061,                0.42035,                0.21699,                 2.5767,                 2.0231,                 4.0456,               0.005446,               0.005446,               0.005446
                     25,                 1.6342,                 2.1191,                 2.2295,                0.43714,                 0.5006,                 0.4147,                0.21118,                 2.5606,                 2.0216,                 3.8304,               0.005248,               0.005248,               0.005248
                     26,                 1.6215,                 2.1106,                 2.2195,                0.42393,                  0.489,                0.39313,                0.19889,                 2.5631,                 2.1145,                 3.9836,                0.00505,                0.00505,                0.00505
                     27,                 1.6179,                  2.115,                 2.2211,                0.41102,                 0.4914,                0.38746,                0.19888,                 2.5438,                 2.0697,                 3.8777,               0.004852,               0.004852,               0.004852
                     28,                 1.6092,                 2.1045,                 2.2119,                0.42324,                 0.4946,                0.39443,                0.20307,                  2.544,                 2.0767,                 3.9279,               0.004654,               0.004654,               0.004654
                     29,                 1.6093,                 2.0955,                 2.2073,                0.39909,                  0.509,                0.38533,                0.19542,                 2.5372,                 2.0363,                 3.8494,               0.004456,               0.004456,               0.004456
