                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.562,                 2.0258,                 2.1724,                0.42978,                0.52419,                0.43921,                0.23954,                 2.4692,                 1.9226,                 4.0368,               0.070032,              0.0033298,              0.0033298
                      1,                 1.5712,                   2.04,                 2.1708,                0.40576,                0.52339,                0.38988,                0.20312,                 2.4917,                 1.9864,                  4.055,               0.039702,              0.0063333,              0.0063333
                      2,                 1.5958,                 2.0671,                 2.1965,                0.39183,                0.48341,                0.37075,                0.18173,                 2.5338,                  2.085,                 3.9849,              0.0090426,              0.0090068,              0.0090068
                      3,                 1.6173,                 2.0951,                 2.2174,                0.40906,                0.48546,                0.37982,                0.19278,                 2.5394,                 2.0424,                 3.7458,               0.008515,               0.008515,               0.008515
                      4,                 1.6274,                 2.0961,                 2.2225,                0.41239,                0.52019,                0.37735,                0.18532,                 2.5351,                 2.0124,                 3.7891,               0.008515,               0.008515,               0.008515
                      5,                 1.6167,                 2.0917,                 2.2213,                0.41295,                0.48661,                0.41573,                0.21846,                 2.5672,                 2.0841,                 3.9667,                0.00802,                0.00802,                0.00802
                      6,                 1.5992,                 2.0828,                  2.204,                0.40574,                  0.505,                0.39519,                0.19718,                 2.5736,                 2.0115,                 4.0604,               0.007525,               0.007525,               0.007525
                      7,                 1.6079,                 2.0765,                 2.2033,                0.40367,                 0.5042,                0.40415,                0.20716,                 2.5249,                 1.9945,                 3.8572,                0.00703,                0.00703,                0.00703
                      8,                 1.5955,                 2.0638,                 2.1958,                0.41801,                0.48501,                0.40685,                 0.2056,                 2.5275,                   2.01,                 3.9189,               0.006535,               0.006535,               0.006535
                      9,                 1.5935,                 2.0569,                 2.1963,                0.41599,                  0.497,                 0.3651,                0.18468,                 2.5107,                 2.0213,                 4.0086,                0.00604,                0.00604,                0.00604
                     10,                 1.5638,                 1.8376,                 2.2103,                0.42434,                 0.5102,                0.40066,                0.20722,                  2.529,                 1.8977,                 4.0462,               0.005545,               0.005545,               0.005545
                     11,                 1.5461,                  1.789,                 2.1921,                0.44114,                0.52099,                0.42644,                0.22536,                 2.4823,                 1.8442,                 4.0022,                0.00505,                0.00505,                0.00505
                     12,                 1.5233,                 1.7721,                 2.1766,                0.43972,                0.53379,                0.39438,                0.20977,                 2.4774,                 1.8469,                 4.1156,               0.004555,               0.004555,               0.004555
                     13,                 1.5142,                 1.7525,                  2.161,                0.41677,                0.54338,                0.39315,                0.20658,                   2.48,                  1.856,                 4.1016,                0.00406,                0.00406,                0.00406
                     14,                 1.4968,                 1.7383,                 2.1479,                0.43404,                0.54818,                0.41236,                0.22505,                 2.4519,                 1.7852,                 4.1143,               0.003565,               0.003565,               0.003565
                     15,                 1.4817,                 1.7167,                  2.132,                0.45673,                0.53778,                0.44228,                0.24636,                 2.4598,                 1.7634,                 4.1311,                0.00307,                0.00307,                0.00307
                     16,                 1.4674,                 1.7028,                 2.1214,                0.44431,                0.55851,                0.43867,                0.24366,                 2.4499,                  1.755,                  4.233,               0.002575,               0.002575,               0.002575
                     17,                 1.4566,                 1.6805,                 2.1064,                0.45401,                0.55738,                0.44398,                0.24895,                 2.4205,                 1.7448,                 4.0666,                0.00208,                0.00208,                0.00208
                     18,                 1.4436,                 1.6674,                 2.0902,                 0.4217,                0.55658,                0.40186,                0.21577,                 2.4241,                 1.7948,                 4.1934,               0.001585,               0.001585,               0.001585
                     19,                 1.4341,                 1.6545,                  2.081,                0.44974,                0.55058,                0.42219,                0.23145,                 2.4231,                 1.7592,                 4.1279,                0.00109,                0.00109,                0.00109
