                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2678,                 1.5687,                 1.7209,                0.42906,                0.39736,                0.34107,                0.14002,                 2.0178,                 2.6537,                 2.3901,               0.070032,              0.0033298,              0.0033298
                      1,                 1.3049,                 1.6304,                 1.7487,                0.41855,                0.39136,                 0.3202,                 0.1368,                 2.0396,                 2.6494,                 2.4182,               0.039966,              0.0065972,              0.0065972
                      2,                 1.3669,                  1.751,                 1.7914,                0.39046,                0.37215,                0.29764,                0.12149,                 2.0479,                 2.9865,                 2.4473,              0.0098338,              0.0097985,              0.0097985
                      3,                 1.4408,                 1.9116,                 1.8809,                0.38732,                0.37455,                 0.2875,                0.11571,                  2.049,                 3.0692,                 2.4523,               0.009703,               0.009703,               0.009703
                      4,                 1.4651,                  1.926,                 1.8973,                0.36654,                0.36122,                0.27563,                0.10609,                 2.0133,                 2.8357,                 2.3566,               0.009703,               0.009703,               0.009703
                      5,                 1.4721,                 1.9622,                 1.9145,                0.37156,                0.39819,                0.29184,                0.11455,                 2.0015,                 3.0784,                  2.343,               0.009604,               0.009604,               0.009604
                      6,                  1.468,                 1.9727,                 1.8995,                0.40897,                0.35894,                0.30534,                0.11785,                 1.9822,                 3.0248,                 2.3412,               0.009505,               0.009505,               0.009505
                      7,                 1.4749,                 1.9868,                 1.9122,                0.39085,                0.34893,                0.29944,                0.11962,                 1.9998,                 2.9733,                 2.3695,               0.009406,               0.009406,               0.009406
                      8,                 1.4605,                 1.9573,                 1.9005,                0.38556,                 0.3744,                0.31381,                0.12458,                 1.9941,                 2.9359,                 2.3529,               0.009307,               0.009307,               0.009307
                      9,                 1.4699,                 1.9696,                 1.9065,                0.39427,                0.40576,                0.32094,                0.13227,                 1.9882,                 3.0899,                 2.3362,               0.009208,               0.009208,               0.009208
                     10,                 1.4792,                 1.9601,                 1.9016,                0.41257,                0.34214,                0.29773,                0.11828,                  1.995,                 3.1678,                 2.3798,               0.009109,               0.009109,               0.009109
                     11,                 1.4685,                 1.9524,                 1.9007,                 0.3433,                0.35054,                0.26101,                0.10536,                 1.9789,                 2.9954,                 2.3349,                0.00901,                0.00901,                0.00901
                     12,                 1.4642,                 1.9436,                 1.8974,                0.39686,                0.35774,                0.30274,                0.11449,                 1.9965,                 2.9554,                 2.3409,               0.008911,               0.008911,               0.008911
